YearID,TeamID,Salary,Adjusted Salary,Wins,ERA,Strikeouts
1985,ATL,14807000,34258061,66,4.615,776
1985,BAL,11560712,26747321,83,5.148,793
1985,BOS,10897560,25213026,81,6.916470588235294,913
1985,CAL,14427894,33380947,90,5.772105263157894,767
1985,CHA,9846178,22780507,85,4.872105263157894,1023
1985,CHN,12702917,29389972,77,4.965,820
1985,CIN,8359917,19341835,89,4.549333333333334,910
1985,CLE,6551666,15158194,60,5.308421052631579,702
1985,DET,10348143,23941873,84,4.1121428571428575,943
1985,HOU,9993051,23120318,83,3.863125,909
1985,KCA,9321179,21565849,91,4.222857142857143,846
1985,LAN,10967917,25375807,95,4.462857142857143,979
1985,MIN,5764821,13337718,77,6.535882352941177,767
1985,ML4,11284107,26107357,71,4.852941176470588,777
1985,MON,9470166,21910551,84,5.156000000000001,870
1985,NYA,14238204,32942072,97,4.740588235294118,907
1985,NYN,10834762,25067734,98,3.8947058823529415,1039
1985,OAK,9058606,20958349,77,5.096470588235294,785
1985,PHI,10124966,23425522,75,3.827647058823529,899
1985,PIT,9227500,21349109,57,4.968333333333333,962
1985,SDN,11036583,25534675,83,5.004666666666666,727
1985,SEA,4613000,10672819,74,5.5147619047619045,868
1985,SFN,8221714,19022083,62,3.755333333333333,985
1985,SLN,11817083,27340471,101,2.9425,798
1985,TEX,7676500,17760654,62,5.89,863
1985,TOR,8812550,20389064,99,3.6613333333333333,823
1986,ATL,17102786,37938334,72,4.199375,932
1986,BAL,13001258,28840101,73,5.3623529411764705,954
1986,BOS,14402239,31947833,95,4.898125,1033
1986,CAL,14427258,32003332,92,4.897368421052631,955
1986,CHA,10418819,23111593,72,3.966666666666667,895
1986,CHN,17208165,38172092,70,4.771111111111111,962
1986,CIN,11906388,26411400,86,4.516,924
1986,CLE,7809500,17323459,84,5.145,744
1986,DET,12335714,27363755,87,4.184375,880
1986,HOU,9873276,21901440,96,5.187894736842105,1160
1986,KCA,13043698,28934244,76,3.9423076923076925,888
1986,LAN,14913776,33082553,73,4.219285714285714,1051
1986,MIN,8748167,19405662,71,7.152777777777778,937
1986,ML4,9943642,22057530,77,4.404117647058824,952
1986,MON,11103600,24630612,78,3.946,1051
1986,NYA,18494253,41024963,90,4.402777777777778,878
1986,NYN,15393714,34147177,108,3.1606666666666663,1083
1986,OAK,9779421,21693246,76,5.625,937
1986,PHI,11590166,25709939,86,4.338636363636364,874
1986,PIT,10843500,24053644,64,4.62,924
1986,SDN,11380693,25245275,74,4.582105263157895,934
1986,SEA,5958309,13217046,67,5.001176470588235,944
1986,SFN,8947000,19846724,83,3.6272222222222226,992
1986,SLN,9875010,21905287,79,3.163529411764706,761
1986,TEX,6743119,14957955,87,4.149375,1059
1986,TOR,12611047,27974513,86,6.048333333333334,1002
1987,ATL,16544560,35288507,69,5.563000000000001,837
1987,BAL,13900273,29648409,67,5.116666666666666,870
1987,BOS,10144167,21636870,78,5.516153846153846,1034
1987,CAL,12843499,27394376,75,5.08375,941
1987,CHA,10641843,22698382,77,5.225,792
1987,CHN,14307999,30518063,76,4.8933333333333335,1024
1987,CIN,9281500,19796856,84,4.801666666666667,919
1987,CLE,8513750,18159293,61,6.420952380952381,849
1987,DET,12122881,25857343,98,4.952857142857143,976
1987,HOU,12608371,26892863,76,4.418235294117647,1137
1987,KCA,11828056,25228500,83,5.4046666666666665,923
1987,LAN,13675403,29168775,73,3.658333333333333,1097
1987,MIN,6397500,13645465,85,5.804705882352941,990
1987,ML4,7293224,15555988,91,5.740588235294118,1039
1987,MON,6942052,14806960,91,5.849047619047619,1012
1987,NYA,17099714,36472615,89,5.280454545454545,900
1987,NYN,13846714,29534171,92,3.946111111111111,1032
1987,OAK,11680839,24914495,81,5.6409090909090915,1042
1987,PHI,11514233,24559135,80,5.998333333333333,877
1987,PIT,7652000,16321235,80,4.670909090909091,914
1987,SDN,11065796,23602647,65,4.953157894736842,897
1987,SEA,2263500,4827903,78,7.810555555555556,919
1987,SFN,7290000,15549112,90,3.6814999999999998,1038
1987,SLN,11758000,25079075,95,5.270555555555556,873
1987,TEX,880000,1876984,75,5.858421052631579,1103
1987,TOR,10479501,22352117,96,4.394,1064
1988,ATL,12728174,26079150,54,4.354736842105263,810
1988,BAL,13532075,27726288,54,6.16047619047619,709
1988,BOS,13896092,28472133,89,5.132941176470588,1085
1988,CAL,11947388,24479373,75,5.088421052631579,817
1988,CHA,6390000,13092669,71,5.395238095238095,754
1988,CHN,13119198,26880331,77,4.635555555555555,897
1988,CIN,8888409,18211736,87,3.527,934
