teamID,yearID,H
ANA,2002,1603
ANA,2003,1473
ANA,2004,1603
ARI,2002,1471
ARI,2003,1467
ARI,2004,1401
ARI,2005,1419
ARI,2006,1506
ARI,2007,1350
ARI,2008,1355
ARI,2009,1408
ARI,2010,1366
ARI,2011,1357
ARI,2012,1416
ARI,2013,1468
ARI,2014,1379
ARI,2015,1494
ARI,2016,1479
ATL,2002,1428
ATL,2003,1608
ATL,2004,1503
ATL,2005,1453
ATL,2006,1510
ATL,2007,1562
ATL,2008,1514
ATL,2009,1459
ATL,2010,1411
ATL,2011,1345
ATL,2012,1341
ATL,2013,1354
ATL,2014,1316
ATL,2015,1361
ATL,2016,1404
BAL,2002,1353
BAL,2003,1516
BAL,2004,1614
BAL,2005,1492
BAL,2006,1556
BAL,2007,1529
BAL,2008,1486
BAL,2009,1508
BAL,2010,1440
BAL,2011,1434
BAL,2012,1375
BAL,2013,1460
BAL,2014,1434
BAL,2015,1370
BAL,2016,1413
BOS,2002,1560
BOS,2003,1667
BOS,2004,1613
BOS,2005,1579
BOS,2006,1510
BOS,2007,1561
BOS,2008,1565
BOS,2009,1495
BOS,2010,1511
BOS,2011,1600
BOS,2012,1459
BOS,2013,1566
BOS,2014,1355
BOS,2015,1495
BOS,2016,1598
CHA,2002,1475
CHA,2003,1445
CHA,2004,1481
CHA,2005,1450
CHA,2006,1586
CHA,2007,1341
CHA,2008,1458
CHA,2009,1410
CHA,2010,1467
CHA,2011,1387
CHA,2012,1409
CHA,2013,1385
CHA,2014,1400
CHA,2015,1381
CHA,2016,1428
CHN,2002,1351
CHN,2003,1431
CHN,2004,1508
CHN,2005,1506
CHN,2006,1496
CHN,2007,1530
CHN,2008,1552
CHN,2009,1398
CHN,2010,1414
CHN,2011,1423
CHN,2012,1297
CHN,2013,1307
CHN,2014,1315
CHN,2015,1341
CHN,2016,1409
CIN,2002,1386
CIN,2003,1349
CIN,2004,1380
CIN,2005,1453
CIN,2006,1419
CIN,2007,1496
CIN,2008,1351
CIN,2009,1349
CIN,2010,1515
CIN,2011,1438
CIN,2012,1377
CIN,2013,1370
CIN,2014,1282
CIN,2015,1382
CIN,2016,1403
CLE,2002,1349
CLE,2003,1413
CLE,2004,1565
CLE,2005,1522
CLE,2006,1576
CLE,2007,1504
CLE,2008,1455
CLE,2009,1468
CLE,2010,1362
CLE,2011,1380
CLE,2012,1385
CLE,2013,1391
CLE,2014,1411
CLE,2015,1395
CLE,2016,1435
COL,2002,1508
COL,2003,1472
COL,2004,1531
COL,2005,1477
COL,2006,1504
COL,2007,1591
COL,2008,1462
COL,2009,1408
COL,2010,1452
COL,2011,1429
COL,2012,1526
COL,2013,1511
COL,2014,1551
COL,2015,1479
COL,2016,1544
DET,2002,1340
DET,2003,1312
DET,2004,1531
DET,2005,1521
DET,2006,1548
DET,2007,1652
