teamID,yearID,H
ANA,1997,1531
ANA,1998,1530
ANA,1999,1404
ANA,2000,1574
ANA,2001,1447
ARI,1998,1353
ARI,1999,1566
ARI,2000,1466
ARI,2001,1494
ATL,1985,1359
ATL,1986,1348
ATL,1987,1401
ATL,1988,1319
ATL,1989,1281
ATL,1990,1376
ATL,1991,1407
ATL,1992,1391
ATL,1993,1444
ATL,1994,1031
ATL,1995,1202
ATL,1996,1514
ATL,1997,1490
ATL,1998,1489
ATL,1999,1481
ATL,2000,1490
ATL,2001,1432
BAL,1985,1451
BAL,1986,1425
BAL,1987,1437
BAL,1988,1275
BAL,1989,1369
BAL,1990,1328
BAL,1991,1421
BAL,1992,1423
BAL,1993,1470
BAL,1994,1047
BAL,1995,1267
BAL,1996,1557
BAL,1997,1498
BAL,1998,1520
BAL,1999,1572
BAL,2000,1508
BAL,2001,1359
BOS,1985,1615
BOS,1986,1488
BOS,1987,1554
BOS,1988,1569
BOS,1989,1571
BOS,1990,1502
BOS,1991,1486
BOS,1992,1343
BOS,1993,1451
BOS,1994,1038
BOS,1995,1399
BOS,1996,1631
BOS,1997,1684
BOS,1998,1568
BOS,1999,1551
BOS,2000,1503
BOS,2001,1493
CAL,1985,1364
CAL,1986,1387
CAL,1987,1406
CAL,1988,1458
CAL,1989,1422
CAL,1990,1448
CAL,1991,1396
CAL,1992,1306
CAL,1993,1399
CAL,1994,1042
CAL,1995,1390
CAL,1996,1571
CHA,1985,1386
CHA,1986,1335
CHA,1987,1427
CHA,1988,1327
CHA,1989,1493
CHA,1990,1393
CHA,1991,1464
CHA,1992,1434
CHA,1993,1454
CHA,1994,1133
CHA,1995,1417
CHA,1996,1586
CHA,1997,1498
CHA,1998,1516
CHA,1999,1563
CHA,2000,1615
CHA,2001,1463
CHN,1985,1397
CHN,1986,1409
CHN,1987,1475
CHN,1988,1481
CHN,1989,1438
CHN,1990,1474
CHN,1991,1395
CHN,1992,1420
CHN,1993,1521
CHN,1994,1015
CHN,1995,1315
CHN,1996,1388
CHN,1997,1444
CHN,1998,1494
CHN,1999,1411
CHN,2000,1426
CHN,2001,1409
CIN,1985,1385
CIN,1986,1404
CIN,1987,1478
CIN,1988,1334
CIN,1989,1362
CIN,1990,1466
CIN,1991,1419
CIN,1992,1418
CIN,1993,1457
CIN,1994,1142
CIN,1995,1326
CIN,1996,1398
CIN,1997,1386
CIN,1998,1441
CIN,1999,1536
CIN,2000,1545
CIN,2001,1464
CLE,1985,1465
CLE,1986,1620
CLE,1987,1476
CLE,1988,1435
CLE,1989,1340
CLE,1990,1465
CLE,1991,1390
CLE,1992,1495
CLE,1993,1547
CLE,1994,1165
CLE,1995,1461
CLE,1996,1665
CLE,1997,1589
CLE,1998,1530
CLE,1999,1629
CLE,2000,1639
CLE,2001,1559
COL,1993,1507
COL,1994,1098
COL,1995,1406
COL,1996,1607
COL,1997,1611
COL,1998,1640
COL,1999,1644
COL,2000,1664
COL,2001,1663
DET,1985,1413
DET,1986,1447
DET,1987,1535
DET,1988,1358
DET,1989,1315
DET,1990,1418
DET,1991,1372
DET,1992,1411
DET,1993,1546
DET,1994,1048
DET,1995,1204
DET,1996,1413
DET,1997,1415
DET,1998,1494
DET,1999,1433
DET,2000,1553
DET,2001,1439
FLO,1993,1356
FLO,1994,1043
FLO,1995,1278
FLO,1996,1413
FLO,1997,1410
FLO,1998,1381
FLO,1999,1465
FLO,2000,1441
FLO,2001,1461
HOU,1985,1457
HOU,1986,1388
HOU,1987,1386
HOU,1988,1338
HOU,1989,1316
HOU,1990,1301
HOU,1991,1345
HOU,1992,1350
HOU,1993,1459
HOU,1994,1099
HOU,1995,1403
HOU,1996,1445
HOU,1997,1427
HOU,1998,1578
HOU,1999,1463
HOU,2000,1547
HOU,2001,1500
KCA,1985,1384
KCA,1986,1403
KCA,1987,1443
KCA,1988,1419
KCA,1989,1428
KCA,1990,1465
KCA,1991,1475
KCA,1992,1411
KCA,1993,1455
KCA,1994,1051
KCA,1995,1275
KCA,1996,1477
KCA,1997,1478
KCA,1998,1459
KCA,1999,1584
KCA,2000,1644
KCA,2001,1503
LAN,1985,1434
LAN,1986,1373
LAN,1987,1389
LAN,1988,1346
LAN,1989,1313
LAN,1990,1436
LAN,1991,1366
LAN,1992,1333
LAN,1993,1458
LAN,1994,1055
LAN,1995,1303
LAN,1996,1396
LAN,1997,1488
LAN,1998,1374
LAN,1999,1480
LAN,2000,1408
LAN,2001,1399
MIL,1998,1439
MIL,1999,1524
MIL,2000,1366
MIL,2001,1378
MIN,1985,1453
MIN,1986,1446
MIN,1987,1422
MIN,1988,1508
MIN,1989,1542
MIN,1990,1458
MIN,1991,1557
MIN,1992,1544
MIN,1993,1480
MIN,1994,1092
MIN,1995,1398
MIN,1996,1633
MIN,1997,1522
MIN,1998,1499
MIN,1999,1450
MIN,2000,1516
MIN,2001,1514
ML4,1985,1467
ML4,1986,1393
ML4,1987,1552
ML4,1988,1409
ML4,1989,1415
ML4,1990,1408
ML4,1991,1523
ML4,1992,1477
ML4,1993,1426
ML4,1994,1045
ML4,1995,1329
ML4,1996,1578
ML4,1997,1415
MON,1985,1342
MON,1986,1401
MON,1987,1467
MON,1988,1400
MON,1989,1353
MON,1990,1363
MON,1991,1329
MON,1992,1381
MON,1993,1410
MON,1994,1111
MON,1995,1268
MON,1996,1441
MON,1997,1423
MON,1998,1348
MON,1999,1473
MON,2000,1475
MON,2001,1361
NYA,1985,1458
NYA,1986,1512
NYA,1987,1445
NYA,1988,1469
NYA,1989,1470
NYA,1990,1322
NYA,1991,1418
NYA,1992,1462
NYA,1993,1568
NYA,1994,1155
NYA,1995,1365
NYA,1996,1621
NYA,1997,1636
NYA,1998,1625
NYA,1999,1568
NYA,2000,1541
NYA,2001,1488
NYN,1985,1425
NYN,1986,1462
NYN,1987,1499
NYN,1988,1387
NYN,1989,1351
NYN,1990,1410
NYN,1991,1305
NYN,1992,1254
NYN,1993,1350
NYN,1994,966
NYN,1995,1323
NYN,1996,1515
NYN,1997,1448
NYN,1998,1425
NYN,1999,1553
NYN,2000,1445
NYN,2001,1361
OAK,1985,1475
OAK,1986,1370
OAK,1987,1432
OAK,1988,1474
OAK,1989,1414
OAK,1990,1379
OAK,1991,1342
OAK,1992,1389
OAK,1993,1408
OAK,1994,1009
OAK,1995,1296
OAK,1996,1492
OAK,1997,1451
OAK,1998,1413
OAK,1999,1430
OAK,2000,1501
OAK,2001,1469
PHI,1985,1343
PHI,1986,1386
PHI,1987,1390
PHI,1988,1294
PHI,1989,1324
PHI,1990,1410
PHI,1991,1332
PHI,1992,1392
PHI,1993,1555
PHI,1994,1028
PHI,1995,1296
PHI,1996,1405
PHI,1997,1390
PHI,1998,1482
PHI,1999,1539
PHI,2000,1386
PHI,2001,1431
PIT,1985,1340
PIT,1986,1366
PIT,1987,1464
PIT,1988,1327
PIT,1989,1334
PIT,1990,1395
PIT,1991,1433
PIT,1992,1409
PIT,1993,1482
PIT,1994,1001
PIT,1995,1281
PIT,1996,1509
PIT,1997,1440
PIT,1998,1395
PIT,1999,1417
PIT,2000,1506
PIT,2001,1333
SDN,1985,1405
SDN,1986,1442
SDN,1987,1419
SDN,1988,1325
SDN,1989,1360
SDN,1990,1429
SDN,1991,1321
SDN,1992,1396
SDN,1993,1386
SDN,1994,1117
SDN,1995,1345
SDN,1996,1499
SDN,1997,1519
SDN,1998,1390
SDN,1999,1360
SDN,2000,1413
SDN,2001,1379
SEA,1985,1410
SEA,1986,1392
SEA,1987,1499
SEA,1988,1397
SEA,1989,1417
SEA,1990,1419
SEA,1991,1400
SEA,1992,1466
SEA,1993,1429
SEA,1994,1045
SEA,1995,1377
SEA,1996,1625
SEA,1997,1574
SEA,1998,1553
SEA,1999,1499
SEA,2000,1481
SEA,2001,1637
SFN,1985,1263
SFN,1986,1394
SFN,1987,1458
SFN,1988,1353
SFN,1989,1365
SFN,1990,1459
SFN,1991,1345
SFN,1992,1330
SFN,1993,1534
SFN,1994,963
SFN,1995,1256
SFN,1996,1400
SFN,1997,1415
SFN,1998,1540
SFN,1999,1507
SFN,2000,1535
SFN,2001,1493
SLN,1985,1446
SLN,1986,1270
SLN,1987,1449
SLN,1988,1373
SLN,1989,1418
SLN,1990,1398
SLN,1991,1366
SLN,1992,1464
SLN,1993,1508
SLN,1994,1026
SLN,1995,1182
SLN,1996,1468
SLN,1997,1409
SLN,1998,1444
SLN,1999,1461
SLN,2000,1481
SLN,2001,1469
TBA,1998,1450
TBA,1999,1531
TBA,2000,1414
TBA,2001,1426
TEX,1985,1359
TEX,1986,1479
TEX,1987,1478
TEX,1988,1378
TEX,1989,1433
TEX,1990,1416
TEX,1991,1539
