teamID,yearID,H
CLE,1985,1465
MON,1985,1342
HOU,1985,1457
ATL,1985,1359
SDN,1985,1405
CHA,1985,1386
ML4,1985,1467
OAK,1985,1475
SEA,1985,1410
CAL,1985,1364
PIT,1985,1340
LAN,1985,1434
TOR,1985,1482
BAL,1985,1451
BOS,1985,1615
PHI,1985,1343
MIN,1985,1453
TEX,1985,1359
CHN,1985,1397
KCA,1985,1384
SFN,1985,1263
NYN,1985,1425
DET,1985,1413
NYA,1985,1458
SLN,1985,1446
CIN,1985,1385
BAL,1986,1425
SLN,1986,1270
CHN,1986,1409
CAL,1986,1387
TEX,1986,1479
SFN,1986,1394
CLE,1986,1620
PIT,1986,1366
CIN,1986,1404
LAN,1986,1373
ML4,1986,1393
BOS,1986,1488
OAK,1986,1370
CHA,1986,1335
SEA,1986,1392
MON,1986,1401
NYA,1986,1512
DET,1986,1447
ATL,1986,1348
TOR,1986,1540
HOU,1986,1388
SDN,1986,1442
MIN,1986,1446
KCA,1986,1403
PHI,1986,1386
NYN,1986,1462
PHI,1987,1390
LAN,1987,1389
SFN,1987,1458
CLE,1987,1476
BOS,1987,1554
CHN,1987,1475
PIT,1987,1464
TEX,1987,1478
SLN,1987,1449
CAL,1987,1406
KCA,1987,1443
CHA,1987,1427
SDN,1987,1419
HOU,1987,1386
DET,1987,1535
SEA,1987,1499
CIN,1987,1478
MIN,1987,1422
NYN,1987,1499
ATL,1987,1401
NYA,1987,1445
ML4,1987,1552
TOR,1987,1514
BAL,1987,1437
OAK,1987,1432
MON,1987,1467
BAL,1988,1275
BOS,1988,1569
MON,1988,1400
OAK,1988,1474
ATL,1988,1319
LAN,1988,1346
HOU,1988,1338
TOR,1988,1491
MIN,1988,1508
CHN,1988,1481
CHA,1988,1327
SEA,1988,1397
CIN,1988,1334
NYN,1988,1387
CLE,1988,1435
CAL,1988,1458
SFN,1988,1353
SDN,1988,1325
PHI,1988,1294
PIT,1988,1327
TEX,1988,1378
KCA,1988,1419
NYA,1988,1469
DET,1988,1358
ML4,1988,1409
SLN,1988,1373
KCA,1989,1428
CAL,1989,1422
CHA,1989,1493
ML4,1989,1415
MIN,1989,1542
HOU,1989,1316
CHN,1989,1438
SEA,1989,1417
DET,1989,1315
NYA,1989,1470
SLN,1989,1418
CIN,1989,1362
NYN,1989,1351
SFN,1989,1365
CLE,1989,1340
SDN,1989,1360
MON,1989,1353
ATL,1989,1281
BAL,1989,1369
BOS,1989,1571
PIT,1989,1334
OAK,1989,1414
TOR,1989,1449
LAN,1989,1313
PHI,1989,1324
TEX,1989,1433
ATL,1990,1376
TOR,1990,1479
SDN,1990,1429
PHI,1990,1410
SLN,1990,1398
HOU,1990,1301
DET,1990,1418
SEA,1990,1419
LAN,1990,1436
CHN,1990,1474
BOS,1990,1502
MON,1990,1363
BAL,1990,1328
TEX,1990,1416
KCA,1990,1465
MIN,1990,1458
OAK,1990,1379
CAL,1990,1448
CLE,1990,1465
SFN,1990,1459
NYN,1990,1410
NYA,1990,1322
CIN,1990,1466
CHA,1990,1393
PIT,1990,1395
ML4,1990,1408
NYN,1991,1305
MIN,1991,1557
OAK,1991,1342
LAN,1991,1366
DET,1991,1372
CLE,1991,1390
SEA,1991,1400
BAL,1991,1421
PHI,1991,1332
SLN,1991,1366
SFN,1991,1345
CIN,1991,1419
NYA,1991,1418
KCA,1991,1475
MON,1991,1329
CAL,1991,1396
TOR,1991,1412
TEX,1991,1539
ML4,1991,1523
PIT,1991,1433
CHA,1991,1464
ATL,1991,1407
SDN,1991,1321
HOU,1991,1345
CHN,1991,1395
BOS,1991,1486
MIN,1992,1544
BOS,1992,1343
CHA,1992,1434
CIN,1992,1418
CHN,1992,1420
KCA,1992,1411
BAL,1992,1423
OAK,1992,1389
TOR,1992,1458
SFN,1992,1330
CLE,1992,1495
CAL,1992,1306
TEX,1992,1387
PIT,1992,1409
NYN,1992,1254
NYA,1992,1462
ML4,1992,1477
DET,1992,1411
LAN,1992,1333
PHI,1992,1392
SEA,1992,1466
MON,1992,1381
SLN,1992,1464
HOU,1992,1350
ATL,1992,1391
SDN,1992,1396
FLO,1993,1356
KCA,1993,1455
PIT,1993,1482
NYN,1993,1350
LAN,1993,1458
MON,1993,1410
PHI,1993,1555
CLE,1993,1547
SFN,1993,1534
ML4,1993,1426
MIN,1993,1480
DET,1993,1546
OAK,1993,1408
COL,1993,1507
SDN,1993,1386
HOU,1993,1459
NYA,1993,1568
SEA,1993,1429
CHN,1993,1521
CIN,1993,1457
ATL,1993,1444
CHA,1993,1454
TOR,1993,1556
SLN,1993,1508
CAL,1993,1399
TEX,1993,1472
BOS,1993,1451
BAL,1993,1470
BAL,1994,1047
PIT,1994,1001
OAK,1994,1009
COL,1994,1098
TOR,1994,1064
MIN,1994,1092
SEA,1994,1045
DET,1994,1048
PHI,1994,1028
LAN,1994,1055
TEX,1994,1114
BOS,1994,1038
CHN,1994,1015
KCA,1994,1051
CAL,1994,1042
FLO,1994,1043
CHA,1994,1133
HOU,1994,1099
SLN,1994,1026
CIN,1994,1142
SDN,1994,1117
