index,yearID,teamID,W,L
1917,1985,ATL,66,96
1918,1985,BAL,83,78
1919,1985,BOS,81,81
1920,1985,CAL,90,72
1921,1985,CHA,85,77
1922,1985,CHN,77,84
1923,1985,CIN,89,72
1924,1985,CLE,60,102
1925,1985,DET,84,77
1926,1985,HOU,83,79
1927,1985,KCA,91,71
1928,1985,LAN,95,67
1929,1985,MIN,77,85
1930,1985,ML4,71,90
1931,1985,MON,84,77
1932,1985,NYA,97,64
1933,1985,NYN,98,64
1934,1985,OAK,77,85
1935,1985,PHI,75,87
1936,1985,PIT,57,104
1937,1985,SDN,83,79
1938,1985,SEA,74,88
1939,1985,SFN,62,100
1940,1985,SLN,101,61
1941,1985,TEX,62,99
1942,1985,TOR,99,62
1943,1986,ATL,72,89
1944,1986,BAL,73,89
1945,1986,BOS,95,66
1946,1986,CAL,92,70
1947,1986,CHA,72,90
1948,1986,CHN,70,90
1949,1986,CIN,86,76
1950,1986,CLE,84,78
1951,1986,DET,87,75
1952,1986,HOU,96,66
1953,1986,KCA,76,86
1954,1986,LAN,73,89
1955,1986,MIN,71,91
1956,1986,ML4,77,84
1957,1986,MON,78,83
1958,1986,NYA,90,72
1959,1986,NYN,108,54
1960,1986,OAK,76,86
1961,1986,PHI,86,75
1962,1986,PIT,64,98
1963,1986,SDN,74,88
1964,1986,SEA,67,95
1965,1986,SFN,83,79
1966,1986,SLN,79,82
1967,1986,TEX,87,75
1968,1986,TOR,86,76
1969,1987,ATL,69,92
1970,1987,BAL,67,95
1971,1987,BOS,78,84
1972,1987,CAL,75,87
1973,1987,CHA,77,85
1974,1987,CHN,76,85
1975,1987,CIN,84,78
1976,1987,CLE,61,101
1977,1987,DET,98,64
1978,1987,HOU,76,86
1979,1987,KCA,83,79
1980,1987,LAN,73,89
1981,1987,MIN,85,77
1982,1987,ML4,91,71
1983,1987,MON,91,71
1984,1987,NYA,89,73
1985,1987,NYN,92,70
1986,1987,OAK,81,81
1987,1987,PHI,80,82
1988,1987,PIT,80,82
1989,1987,SDN,65,97
1990,1987,SEA,78,84
1991,1987,SFN,90,72
1992,1987,SLN,95,67
1993,1987,TEX,75,87
1994,1987,TOR,96,66
1995,1988,ATL,54,106
1996,1988,BAL,54,107
1997,1988,BOS,89,73
1998,1988,CAL,75,87
1999,1988,CHA,71,90
2000,1988,CHN,77,85
2001,1988,CIN,87,74
2002,1988,CLE,78,84
2003,1988,DET,88,74
2004,1988,HOU,82,80
2005,1988,KCA,84,77
2006,1988,LAN,94,67
2007,1988,MIN,91,71
2008,1988,ML4,87,75
