yearID,teamID,salary,adjusted_salary
1985,ATL,14807000,34258061
1985,BAL,11560712,26747321
1985,BOS,10897560,25213026
1985,CAL,14427894,33380947
1985,CHA,9846178,22780507
1985,CHN,12702917,29389972
1985,CIN,8359917,19341835
1985,CLE,6551666,15158194
1985,DET,10348143,23941873
1985,HOU,9993051,23120318
1985,KCA,9321179,21565849
1985,LAN,10967917,25375807
1985,MIN,5764821,13337718
1985,ML4,11284107,26107357
1985,MON,9470166,21910551
1985,NYA,14238204,32942072
1985,NYN,10834762,25067734
1985,OAK,9058606,20958349
1985,PHI,10124966,23425522
1985,PIT,9227500,21349109
1985,SDN,11036583,25534675
1985,SEA,4613000,10672819
1985,SFN,8221714,19022083
1985,SLN,11817083,27340471
1985,TEX,7676500,17760654
1985,TOR,8812550,20389064
1986,ATL,17102786,37938334
1986,BAL,13001258,28840101
1986,BOS,14402239,31947833
1986,CAL,14427258,32003332
1986,CHA,10418819,23111593
1986,CHN,17208165,38172092
1986,CIN,11906388,26411400
1986,CLE,7809500,17323459
1986,DET,12335714,27363755
1986,HOU,9873276,21901440
1986,KCA,13043698,28934244
1986,LAN,14913776,33082553
1986,MIN,8748167,19405662
1986,ML4,9943642,22057530
1986,MON,11103600,24630612
1986,NYA,18494253,41024963
1986,NYN,15393714,34147177
1986,OAK,9779421,21693246
1986,PHI,11590166,25709939
1986,PIT,10843500,24053644
1986,SDN,11380693,25245275
1986,SEA,5958309,13217046
1986,SFN,8947000,19846724
1986,SLN,9875010,21905287
1986,TEX,6743119,14957955
1986,TOR,12611047,27974513
1987,ATL,16544560,35288507
1987,BAL,13900273,29648409
1987,BOS,10144167,21636870
1987,CAL,12843499,27394376
1987,CHA,10641843,22698382
1987,CHN,14307999,30518063
1987,CIN,9281500,19796856
1987,CLE,8513750,18159293
1987,DET,12122881,25857343
1987,HOU,12608371,26892863
1987,KCA,11828056,25228500
1987,LAN,13675403,29168775
1987,MIN,6397500,13645465
1987,ML4,7293224,15555988
1987,MON,6942052,14806960
1987,NYA,17099714,36472615
1987,NYN,13846714,29534171
1987,OAK,11680839,24914495
1987,PHI,11514233,24559135
