yearID,teamID,lgID,salary,adjusted_salary
1985,ATL,NL,14807000,34258061
1985,BAL,AL,11560712,26747321
1985,BOS,AL,10897560,25213026
1985,CAL,AL,14427894,33380947
1985,CHA,AL,9846178,22780507
1985,CHN,NL,12702917,29389972
1985,CIN,NL,8359917,19341835
1985,CLE,AL,6551666,15158194
1985,DET,AL,10348143,23941873
1985,HOU,NL,9993051,23120318
1985,KCA,AL,9321179,21565849
1985,LAN,NL,10967917,25375807
1985,MIN,AL,5764821,13337718
1985,ML4,AL,11284107,26107357
1985,MON,NL,9470166,21910551
1985,NYA,AL,14238204,32942072
1985,NYN,NL,10834762,25067734
1985,OAK,AL,9058606,20958349
1985,PHI,NL,10124966,23425522
1985,PIT,NL,9227500,21349109
1985,SDN,NL,11036583,25534675
1985,SEA,AL,4613000,10672819
1985,SFN,NL,8221714,19022083
1985,SLN,NL,11817083,27340471
1985,TEX,AL,7676500,17760654
1985,TOR,AL,8812550,20389064
1986,ATL,NL,17102786,37938334
1986,BAL,AL,13001258,28840101
1986,BOS,AL,14402239,31947833
1986,CAL,AL,14427258,32003332
1986,CHA,AL,10418819,23111593
1986,CHN,NL,17208165,38172092
1986,CIN,NL,11906388,26411400
1986,CLE,AL,7809500,17323459
1986,DET,AL,12335714,27363755
1986,HOU,NL,9873276,21901440
1986,KCA,AL,13043698,28934244
1986,LAN,NL,14913776,33082553
1986,MIN,AL,8748167,19405662
1986,ML4,AL,9943642,22057530
1986,MON,NL,11103600,24630612
1986,NYA,AL,18494253,41024963
1986,NYN,NL,15393714,34147177
1986,OAK,AL,9779421,21693246
1986,PHI,NL,11590166,25709939
1986,PIT,NL,10843500,24053644
1986,SDN,NL,11380693,25245275
1986,SEA,AL,5958309,13217046
1986,SFN,NL,8947000,19846724
1986,SLN,NL,9875010,21905287
1986,TEX,AL,6743119,14957955
1986,TOR,AL,12611047,27974513
1987,ATL,NL,16544560,35288507
1987,BAL,AL,13900273,29648409
1987,BOS,AL,10144167,21636870
1987,CAL,AL,12843499,27394376
1987,CHA,AL,10641843,22698382
1987,CHN,NL,14307999,30518063
1987,CIN,NL,9281500,19796856
1987,CLE,AL,8513750,18159293
1987,DET,AL,12122881,25857343
1987,HOU,NL,12608371,26892863
1987,KCA,AL,11828056,25228500
1987,LAN,NL,13675403,29168775
1987,MIN,AL,6397500,13645465
1987,ML4,AL,7293224,15555988
1987,MON,NL,6942052,14806960
1987,NYA,AL,17099714,36472615
1987,NYN,NL,13846714,29534171
1987,OAK,AL,11680839,24914495
1987,PHI,NL,11514233,24559135
1987,PIT,NL,7652000,16321235
1987,SDN,NL,11065796,23602647
1987,SEA,AL,2263500,4827903
1987,SFN,NL,7290000,15549112
1987,SLN,NL,11758000,25079075
1987,TEX,AL,880000,1876984
1987,TOR,AL,10479501,22352117
1988,ATL,NL,12728174,26079150
1988,BAL,AL,13532075,27726288
1988,BOS,AL,13896092,28472133
1988,CAL,AL,11947388,24479373
1988,CHA,AL,6390000,13092669
1988,CHN,NL,13119198,26880331
1988,CIN,NL,8888409,18211736
1988,CLE,AL,8936500,18310271
1988,DET,AL,12869571,26368863
1988,HOU,NL,12286167,25173508
1988,KCA,AL,14556562,29825391
1988,LAN,NL,16850515,34525542
1988,MIN,AL,12462666,25535142
1988,ML4,AL,8402000,17215118
1988,MON,NL,9603333,19676566
1988,NYA,AL,19441152,39833579
1988,NYN,NL,15269314,31285770
1988,OAK,AL,9690000,19854141
1988,PHI,NL,13838000,28353107
1988,PIT,NL,5998500,12290512
1988,SDN,NL,9561002,19589833
1988,SEA,AL,7342450,15044173
1988,SFN,NL,12380000,25365765
1988,SLN,NL,12880000,26390231
1988,TEX,AL,5342131,10945657
1988,TOR,AL,12241225,25081425
1989,ATL,NL,11112334,21808817
1989,BAL,AL,8275167,16240657
1989,BOS,AL,17481748,34309287
1989,CAL,AL,15097833,29630668
1989,CHA,AL,7265410,14258930
1989,CHN,NL,10668000,20936777
1989,CIN,NL,11072000,21729659
1989,CLE,AL,9094500,17848661
1989,DET,AL,15146404,29725993
1989,HOU,NL,15029500,29496560
1989,KCA,AL,18683568,36667952
1989,LAN,NL,21071562,41354575
1989,MIN,AL,15531666,30482099
1989,ML4,AL,11533000,22634407
1989,MON,NL,13807389,27098072
1989,NYA,AL,17114375,33588288
1989,NYN,NL,19885071,39025994
1989,OAK,AL,15613070,30641861
1989,PHI,NL,10604000,20811172
1989,PIT,NL,12737500,24998332
1989,SDN,NL,14195000,27858789
1989,SEA,AL,9779500,19193027
1989,SFN,NL,14962834,29365722
1989,SLN,NL,16078833,31555957
1989,TEX,AL,11893781,23342468
1989,TOR,AL,16261666,31914781
1990,ATL,NL,14555501,27336172
1990,BAL,AL,9680084,18179823
1990,BOS,AL,20558333,38609879
1990,CAL,AL,21720000,40791565
1990,CHA,AL,9491500,17825650
1990,CHN,NL,13624000,25586753
1990,CIN,NL,14370000,26987789
1990,CLE,AL,14487000,27207523
1990,DET,AL,17593238,33041239
1990,HOU,NL,18330000,34424925
1990,KCA,AL,23361084,43873626
1990,LAN,NL,21318704,40037905
1990,MIN,AL,14602000,27423500
1990,ML4,AL,19719167,37033871
1990,MON,NL,16586388,31150309
1990,NYA,AL,20912318,39274685
1990,NYN,NL,21722834,40796887
1990,OAK,AL,19887501,37350013
1990,PHI,NL,13173667,24740998
1990,PIT,NL,15556000,29215174
1990,SDN,NL,17588334,33032028
1990,SEA,AL,12553667,23576598
1990,SFN,NL,19335333,36313006
1990,SLN,NL,20523334,38544148
1990,TEX,AL,14874372,27935032
1990,TOR,AL,17756834,33348482
1991,ATL,NL,18403500,32917108
1991,BAL,AL,17519000,31335062
1991,BOS,AL,35167500,62901752
1991,CAL,AL,33060001,59132209
1991,CHA,AL,16919667,30263075
1991,CHN,NL,23175667,41452763
1991,CIN,NL,26305333,47050587
1991,CLE,AL,17635000,31542543
1991,DET,AL,23838333,42638029
1991,HOU,NL,12852500,22988406
1991,KCA,AL,26319834,47076524
1991,LAN,NL,32790664,58650464
1991,MIN,AL,23361833,41785746
1991,ML4,AL,23115500,41345146
1991,MON,NL,10732333,19196205
1991,NYA,AL,27344168,48908682
1991,NYN,NL,32590001,58291552
1991,OAK,AL,36999167,66177932
1991,PHI,NL,22487332,40221584
1991,PIT,NL,23634667,42273746
1991,SDN,NL,22150001,39618223
1991,SEA,AL,15691833,28066930
1991,SFN,NL,30967666,55389790
1991,SLN,NL,21860001,39099519
1991,TEX,AL,18224500,32596942
1991,TOR,AL,19902417,35598120
1992,ATL,NL,34625333,59039098
1992,BAL,AL,23780667,40548032
1992,BOS,AL,43610584,74359705
1992,CAL,AL,34749334,59250530
1992,CHA,AL,30160833,51426751
1992,CHN,NL,29829686,50862118
1992,CIN,NL,35931499,61266221
1992,CLE,AL,9373044,15981826
1992,DET,AL,27322834,46587724
1992,HOU,NL,15407500,26271080
1992,KCA,AL,33893834,57791831
1992,LAN,NL,44788166,76367581
1992,MIN,AL,28027834,47789809
1992,ML4,AL,31013667,52880905
1992,MON,NL,15822334,26978407
1992,NYA,AL,37543334,64014535
1992,NYN,NL,44602002,76050156
1992,OAK,AL,41035000,69968118
1992,PHI,NL,24383834,41576483
